,Temp,Cp-1,Cp-2,Cp-3,Cp-4,Cp-5,Cp-6,Cp-7,Cp-8,r,s,z0l,zl,z0,zu,z0u,z0_gd
45,66,1.323395,1.373724,1.373437,1.325769,1.332382,1.335081,1.333722,1.334746,0.3,1.0,1.3269153996152,1.33157711046863,1.3332303151775,1.33412458584268,1.33495075139458,1.4155689936854
46,67,1.32481,1.374514,1.374747,1.327112,1.33439,1.335411,1.334526,1.335745,0.3,1.0,1.32669750799718,1.33214710531934,1.3338220000587,1.33575304936544,1.34918494677243,1.41723751624845
47,68,1.326359,1.375556,1.374734,1.327509,1.335072,1.33579,1.336342,1.336462,0.3,1.0,1.33516378158942,1.33581376269588,1.3361390575786,1.33633383237444,1.33645433908992,1.41679843694071
48,69,1.326835,1.376344,1.376579,1.328245,1.335709,1.336378,1.335876,1.336916,0.3,1.0,1.33572279117751,1.33588551854384,1.33608482197281,1.33635942336306,1.33684446117791,1.41764126283193
49,70,1.326769,1.376762,1.377235,1.329143,1.336148,1.336945,1.336882,1.338189,0.3,1.0,1.32866310316949,1.33410475377151,1.33575549817142,1.33764698458105,1.35080388510795,1.41861333116609
50,21,1.310366,1.313317,1.312751,1.313318,1.318298,1.322074,1.321348,1.321686,0.5,1.0,1.3111749324582,1.31470228533599,1.31639519749816,1.31836800657385,1.32128069918539,1.34367635450653
51,22,1.311391,1.314682,1.314484,1.314835,1.319195,1.323117,1.322869,1.322976,0.5,1.0,1.31320130487326,1.31665040024713,1.31819705592419,1.31984032225239,1.32274994594446,1.34532992528315
52,23,1.31253,1.316172,1.315948,1.315607,1.320372,1.324416,1.324485,1.324149,0.5,1.0,1.31444489499163,1.31786380701045,1.3193867491607,1.32102457836737,1.324089003121,1.34664948912095
53,24,1.313699,1.317467,1.317608,1.317613,1.321537,1.325918,1.325854,1.325941,0.5,1.0,1.31613103025841,1.31930008803322,1.32064004425092,1.32214709074506,1.32551217363898,1.34816871657283
54,25,1.314184,1.317918,1.318696,1.318449,1.322031,1.326924,1.326975,1.326812,0.5,1.0,1.3169036952215,1.32004766808222,1.32129105373601,1.32270060809683,1.32653510169526,1.34959508408573
55,26,1.315506,1.319117,1.319651,1.320156,1.323281,1.328005,1.328268,1.328442,0.5,1.0,1.31819128147348,1.32134313834132,1.32258512137517,1.3239887870953,1.32789459957535,1.35132945166778
56,27,1.316479,1.320269,1.321236,1.321647,1.324674,1.32995,1.329427,1.329872,0.5,1.0,1.31945815127193,1.32287769523901,1.32411009512,1.32546138523785,1.32959638414944,1.35232672110961
57,28,1.317589,1.321645,1.322566,1.323059,1.325571,1.33118,1.331215,1.330984,0.5,1.0,1.32058739462821,1.32411028816293,1.32529056079407,1.32662121340446,1.33075691275138,1.35416475564271
58,29,1.318952,1.323412,1.324226,1.324218,1.326808,1.332733,1.332845,1.332324,0.5,1.0,1.32192246127316,1.32557393172237,1.32669726440225,1.32796921616064,1.33226755920398,1.35577572956484
59,30,1.320159,1.325224,1.325355,1.325683,1.32799,1.334187,1.33394,1.333814,0.5,1.0,1.32322475447945,1.3268786021294,1.32797477593839,1.32925427732323,1.33329229763447,1.35726802414498
60,31,1.320947,1.326384,1.326547,1.326972,1.328972,1.335211,1.335247,1.334922,0.5,1.0,1.32424750255536,1.32813528645405,1.329207132096,1.33042058585754,1.33468025042606,1.35871730618134
61,32,1.321969,1.327372,1.328207,1.328485,1.330531,1.336392,1.336649,1.336359,0.5,1.0,1.32562574513268,1.329493323675,1.33060543626371,1.33188806259363,1.33574935914753,1.36056918067536
62,33,1.323177,1.329156,1.329812,1.330185,1.331496,1.338182,1.338481,1.338083,0.5,1.0,1.32690593311504,1.33102517490075,1.33210319362689,1.33334966159821,1.33745810180129,1.36225335786375
63,34,1.324087,1.330532,1.330859,1.3311,1.333034,1.33964,1.339702,1.339176,0.5,1.0,1.32805842550714,1.33238861690087,1.33348520237024,1.33470284680887,1.3391327755876,1.36390497291197
64,35,1.325747,1.331896,1.33238,1.33253,1.334486,1.340845,1.341115,1.340559,0.5,1.0,1.32958874564011,1.33373400414422,1.33482831247452,1.33607176116946,1.34022378236564,1.3653599060913
65,36,1.327383,1.333531,1.334287,1.333407,1.335653,1.34232,1.342974,1.341677,0.5,1.0,1.33099894198014,1.3351104890336,1.33618094677606,1.3374028717181,1.34165152746828,1.36687931116836
66,37,1.328672,1.334989,1.335287,1.33539,1.337375,1.344145,1.344339,1.343902,0.5,1.0,1.3324453236223,1.33669829989645,1.33781887493876,1.33909812989379,1.34348667998253,1.36844643785384
67,38,1.330386,1.336437,1.336688,1.33679,1.339025,1.345588,1.344914,1.344841,0.5,1.0,1.33406277523289,1.33796410554463,1.33905987249512,1.34036599964035,1.34407085248152,1.37009651473112
68,39,1.33181,1.337664,1.338005,1.338111,1.340926,1.346751,1.346438,1.346479,0.5,1.0,1.3356276515292,1.33951479363927,1.34068338405264,1.34203015396789,1.34584569715192,1.37179159348604
69,40,1.333418,1.338928,1.339374,1.339652,1.342291,1.347954,1.348073,1.347909,0.5,1.0,1.33707582373621,1.34093719890518,1.34209987317725,1.34342690637146,1.34737978346101,1.37293998180046
70,41,1.335336,1.340434,1.340809,1.340905,1.343914,1.349523,1.349473,1.348967,0.5,1.0,1.33868552532619,1.34246474592367,1.34360940112968,1.34487473130235,1.3490951812096,1.37442406552025
71,42,1.336986,1.341862,1.342474,1.342302,1.345614,1.351178,1.351032,1.350625,0.5,1.0,1.3402933605276,1.34397277327929,1.34516579211858,1.34649801926491,1.35061480375998,1.37613975743376
72,43,1.338607,1.343128,1.343048,1.34365,1.346959,1.352598,1.352164,1.35239,0.5,1.0,1.34154526153601,1.34510336541842,1.3463571372141,1.34776244231364,1.35213032726416,1.37765552864213
73,44,1.340496,1.344778,1.344877,1.345178,1.349033,1.354107,1.353966,1.353349,0.5,1.0,1.34334750205469,1.34687359935332,1.34819246179504,1.34963033543086,1.35364822785964,1.37916616104715
74,45,1.343205,1.346058,1.3466,1.346692,1.351525,1.355028,1.355492,1.355491,0.5,1.0,1.34490069386981,1.34847558442771,1.35025932741795,1.35220973261721,1.35497612480193,1.38061933253811
75,46,1.344939,1.346812,1.347369,1.347811,1.353335,1.356513,1.356656,1.356613,0.5,1.0,1.3452145919969,1.34931064122813,1.35165254928072,1.35407374996065,1.35649914934724,1.38229212890116
76,47,1.347229,1.348549,1.348642,1.34873,1.3558,1.357999,1.357732,1.357407,0.5,1.0,1.34751843165632,1.35090575741456,1.35298408883997,1.35506481126473,1.35777801537643,1.38359238021339
77,48,1.348655,1.349675,1.349562,1.349896,1.357238,1.358967,1.358499,1.358873,0.5,1.0,1.34880471965872,1.35191948168369,1.35418098172647,1.35643194018362,1.35885496325112,1.38533508101327
78,49,1.350689,1.351481,1.351253,1.351633,1.358898,1.360764,1.360524,1.360283,0.5,1.0,1.35082080887493,1.35335156577741,1.35553763291453,1.3578827040385,1.36060783303036,1.38722833653655
79,50,1.352418,1.352528,1.352662,1.352525,1.360705,1.361627,1.361306,1.361537,0.5,1.0,1.34675579690221,1.35659125605415,1.35820034963476,1.3596263410225,1.36140800952056,1.38876236687687
80,51,1.354467,1.353577,1.353858,1.354251,1.36272,1.362992,1.363035,1.362881,0.5,1.0,1.35411274155214,1.35592859787316,1.35774132949621,1.35949965996202,1.36689000126735,1.39029913679691
81,52,1.355629,1.355161,1.355081,1.355393,1.364334,1.364321,1.363878,1.364055,0.5,1.0,1.35533698670867,1.35677278328699,1.35849848553902,1.36033948197504,1.36924713555688,1.39198074101623
82,53,1.357671,1.356835,1.357155,1.357094,1.365828,1.366038,1.366106,1.365574,0.5,1.0,1.35689949360776,1.35918369513363,1.36197765953728,1.36449431105307,1.36606567028309,1.39341309489358
83,54,1.359595,1.358838,1.359029,1.358851,1.367698,1.367614,1.367748,1.367325,0.5,1.0,1.35886291377718,1.36060318127997,1.36394949046108,1.36659415191784,1.36773491692026,1.39486724702421
84,55,1.361017,1.360682,1.359903,1.359816,1.369044,1.36946,1.368852,1.368536,0.5,1.0,1.36003163872022,1.36241748228246,1.36518203844875,1.36744801136567,1.36932948916455,1.39596413660693
85,56,1.362366,1.361845,1.361537,1.361444,1.370815,1.370677,1.370263,1.370268,0.5,1.0,1.36177187709778,1.36361467200796,1.36520865475213,1.36687511978481,1.37576476018208,1.39716194288346
86,57,1.36319,1.362534,1.363048,1.363238,1.372193,1.371759,1.371736,1.372002,0.5,1.0,1.35873007217216,1.36668468482657,1.3686340700703,1.37053492000407,1.37184599750405,1.39896037246649
87,58,1.364556,1.364122,1.363717,1.363868,1.373173,1.373218,1.372677,1.372434,0.5,1.0,1.36379964301317,1.36532032704731,1.36808359293983,1.37133752007498,1.37309982611052,1.40010287619252
88,59,1.365835,1.365309,1.365118,1.364828,1.374833,1.374898,1.374131,1.374208,0.5,1.0,1.36495766459977,1.36669909811252,1.36957196954959,1.37291360357465,1.37472936929512,1.40192937952359
89,60,1.366947,1.366426,1.366406,1.366245,1.375791,1.375524,1.375568,1.375167,0.5,1.0,1.36631686482838,1.36784426848869,1.36890747884774,1.37030086394336,1.38346282506989,1.40365107147913
90,61,1.367743,1.367565,1.367074,1.36714,1.376729,1.376797,1.376181,1.376221,0.5,1.0,1.36718730462122,1.36847098511297,1.37190314171387,1.37536203085036,1.37668045353842,1.40508033422809
91,62,1.369003,1.368596,1.368842,1.369096,1.377922,1.37761,1.378057,1.377412,0.5,1.0,1.36866317971167,1.3705918661635,1.37322241633635,1.37596015741673,1.37798297826041,1.40651937613702
92,63,1.370363,1.370445,1.370246,1.369807,1.379608,1.379498,1.379024,1.3791,0.5,1.0,1.36994669671734,1.37193227508016,1.37488288583649,1.37785274218605,1.37948698715371,1.40897065500647
93,64,1.371261,1.371209,1.370824,1.371539,1.380612,1.380234,1.379565,1.380071,0.5,1.0,1.37088407631633,1.37328657303193,1.37543065027455,1.37769095660838,1.38053464745815,1.40959840977586
94,65,1.372283,1.372691,1.371889,1.373002,1.381454,1.381976,1.38121,1.381969,0.5,1.0,1.3719250333164,1.37490203579142,1.3775373965183,1.37999998430782,1.38195437719792,1.41094774876829
95,66,1.373165,1.373196,1.373437,1.373298,1.382489,1.383403,1.382514,1.382597,0.5,1.0,1.37318380469914,1.37412436573518,1.37616506931758,1.37935031054559,1.3832797839037,1.4155689936854
96,67,1.373961,1.37451,1.374747,1.374622,1.383898,1.384676,1.38353,1.383559,0.5,1.0,1.37412062930895,1.3765083077568,1.37873923433899,1.38118034028832,1.38442355610488,1.41723751624845
97,68,1.37524,1.375474,1.374734,1.375228,1.384271,1.385212,1.384409,1.3845,0.5,1.0,1.37483002707191,1.3773086934351,1.37951607290831,1.38188577506358,1.38507260995769,1.41679843694071
98,69,1.376265,1.376059,1.376579,1.376504,1.38547,1.386208,1.385745,1.38549,0.5,1.0,1.37613488073363,1.37803615004501,1.38052370766196,1.38331015773394,1.38608105270533,1.41764126283193
99,70,1.376327,1.376693,1.377235,1.377292,1.386057,1.386605,1.386859,1.386661,0.5,1.0,1.3771844366679,1.37900883959306,1.38140281669373,1.38338110479969,1.39058213163845,1.41861333116609
100,21,1.321507,1.323354,1.323591,1.324437,1.329506,1.332177,1.332259,1.332878,0.6,1.0,1.32207351962247,1.32596462131698,1.32767571873888,1.32939470583844,1.33246656677045,1.34367635450653
101,22,1.322637,1.32513,1.325375,1.325765,1.330508,1.333632,1.333828,1.333972,0.6,1.0,1.32318389645621,1.32720698807545,1.32905661976085,1.33101968322933,1.33363063001984,1.34532992528315
102,23,1.323783,1.326793,1.326584,1.326979,1.331692,1.335103,1.33519,1.335595,0.6,1.0,1.32457137707385,1.32851239281249,1.33022139152056,1.33210036653646,1.33499697173046,1.34664948912095
103,24,1.324996,1.328265,1.328226,1.328814,1.332901,1.336785,1.336539,1.337211,0.6,1.0,1.32592153307148,1.33018435964659,1.33180025378692,1.33352541434921,1.33657312018649,1.34816871657283
104,25,1.326431,1.32884,1.32956,1.329767,1.334351,1.337921,1.337908,1.338203,0.6,1.0,1.32710827592384,1.33085107600792,1.33264604498456,1.33476582390682,1.33759502863932,1.34959508408573
105,26,1.327515,1.329968,1.330572,1.331512,1.335361,1.338929,1.339261,1.339869,0.6,1.0,1.32846705313528,1.33243756107601,1.33405052964144,1.33580307750721,1.33905366268537,1.35132945166778
106,27,1.329304,1.331488,1.332442,1.33291,1.33758,1.34125,1.340702,1.341204,0.6,1.0,1.32972325292692,1.33411649748479,1.33605536632383,1.338043723201,1.34098871873046,1.35232672110961
107,28,1.330742,1.333448,1.333984,1.33434,1.338803,1.343067,1.342707,1.342334,0.6,1.0,1.33161159503865,1.33552928239666,1.33722283119382,1.33915424392642,1.34228050311283,1.35416475564271
108,29,1.332243,1.335179,1.335158,1.335663,1.340177,1.344583,1.343848,1.34384,0.6,1.0,1.33312586181954,1.33721759194609,1.33884286371018,1.34057879598427,1.34386887548943,1.35577572956484
109,30,1.33372,1.336821,1.33651,1.337253,1.34163,1.345864,1.345167,1.345455,0.6,1.0,1.33457014788627,1.33856611052058,1.34023376967173,1.3420750244109,1.34516912811625,1.35726802414498
110,31,1.334849,1.33807,1.338072,1.33878,1.34296,1.346975,1.346848,1.346797,0.6,1.0,1.3368015290765,1.34033927672362,1.34194512158686,1.34365014102318,1.34660850784787,1.35871730618134
111,32,1.335923,1.339672,1.339599,1.339941,1.344575,1.348774,1.348115,1.347883,0.6,1.0,1.33720153982698,1.34160198279416,1.34319483503247,1.34487722099997,1.34794579925642,1.36056918067536
112,33,1.337362,1.340963,1.341279,1.341811,1.34577,1.350068,1.350021,1.349777,0.6,1.0,1.33975083882079,1.3434447037911,1.34489903582954,1.34641737091546,1.34983023985635,1.36225335786375
113,34,1.338179,1.342163,1.342413,1.343075,1.347222,1.351351,1.351335,1.351226,0.6,1.0,1.34082831352445,1.34475568444495,1.34630255156974,1.34789348392841,1.35113341297673,1.36390497291197
114,35,1.339638,1.343957,1.343601,1.344654,1.348469,1.352986,1.352409,1.352756,0.6,1.0,1.34241760970806,1.34613673229986,1.34758886352376,1.34911523102521,1.35252013504354,1.3653599060913
